,,,,Touchdowns,Kicking,Misc,Player,Team,Gms,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,2Pt,Saf
Chuba HubbardC. Hubbard,CAR,5,18,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kareem HuntK. Hunt,KC,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tyler HuntleyT. Huntley,MIA,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jalen HurtsJ. Hurts,PHI,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alec IngoldA. Ingold,MIA,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Andrei IosivasA. Iosivas,CIN,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mar'Keise IrvingM. Irving,TB,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lamar JacksonL. Jackson,BAL,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Josh JacobsJ. Jacobs,GB,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Justin JeffersonJ. Jefferson,MIN,5,24,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rayshawn JenkinsR. Jenkins,SEA,6,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Jauan JenningsJ. Jennings,SF,6,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jerry JeudyJ. Jeudy,CLE,5,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Diontae JohnsonD. Johnson,CAR,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Juwan JohnsonJ. Johnson,NO,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Quentin JohnstonQ. Johnston,LAC,4,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Roschon JohnsonR. Johnson,CHI,4,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ty JohnsonT. Johnson,BUF,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aaron JonesA. Jones,MIN,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Greg JosephG. Joseph,NYG,3,29,0,0,0,0,0,0,0,0,0,0,5,8,0,0,,,,,,,
Kyle JuszczykK. Juszczyk,SF,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alvin KamaraA. Kamara,NO,5,36,6,5,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Joshua KartyJ. Karty,LA,5,34,0,0,0,0,0,0,0,0,0,0,7,9,0,0,,,,,,,
Dalton KincaidD. Kincaid,BUF,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Christian KirkC. Kirk,JAX,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
George KittleG. Kittle,SF,5,30,5,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cole KmetC. Kmet,CHI,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Charlie KolarC. Kolar,BAL,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Younghoe KooY. Koo,ATL,5,45,0,0,0,0,0,0,0,0,0,0,9,12,0,0,,,,,,,
Tucker KraftT. Kraft,GB,5,20,3,0,3,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Cooper KuppC. Kupp,LA,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CeeDee LambC. Lamb,DAL,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Allen LazardA. Lazard,NYJ,5,24,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Xavier LegetteX. Legette,CAR,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Deommodore LenoirD. Lenoir,SF,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
Isaiah LikelyI. Likely,BAL,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cam LittleC. Little,JAX,5,37,0,0,0,0,0,0,0,0,0,0,10,9,0,0,,,,,,,
Tyler LockettT. Lockett,SEA,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Drake LondonD. London,ATL,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Wil LutzW. Lutz,DEN,5,44,0,0,0,0,0,0,0,0,0,0,8,12,0,0,,,,,,,
Jordan MasonJ. Mason,SF,6,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alexander MattisonA. Mattison,LV,5,20,3,2,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
